  PID TTY      STAT   TIME COMMAND
 1318 ?        Ss     0:00 /lib/systemd/systemd --user
 1319 ?        S      0:00 (sd-pam)
 1332 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 1336 tty2     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1338 tty2     Sl+    0:48 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
 1346 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1349 tty2     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 1427 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1430 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd
 1435 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1445 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1450 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1452 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1470 tty2     Rl+    1:45 /usr/bin/gnome-shell
 1480 ?        S<l    0:28 /usr/bin/pulseaudio --start --log-target=syslog
 1495 tty2     Sl     0:06 ibus-daemon --xim --panel disable
 1499 tty2     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1501 tty2     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 1505 ?        Sl     0:00 /usr/lib/ibus/ibus-portal
 1510 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
 1518 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 1522 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 1530 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 1541 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 1544 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-identity-service
 1551 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1555 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1560 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1564 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 1568 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 1569 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1571 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1572 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1576 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1581 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1585 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1590 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1596 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 1602 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1605 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1608 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1613 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1616 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-color
 1621 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1624 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1625 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1643 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-printer
 1668 tty2     Sl+    0:00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 1673 tty2     Sl+    0:01 nautilus-desktop
 1692 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
 1697 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 1708 tty2     Sl     0:02 /usr/lib/ibus/ibus-engine-simple
 1725 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1697x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1697/2
 1727 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 1738 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 1751 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1738x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1738/2
 1774 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 1784 tty2     Sl+    1:13 /usr/share/spotify/spotify
 1788 tty2     S+     0:00 /usr/share/spotify/spotify --type=zygote --no-sandbox --log-file=/usr/share/spotify/debug.log --log-severity=disable --product-version=Spotify/1.1.10.546 --lang=en-US
 1801 tty2     Sl+    0:05 /usr/share/spotify/spotify --type=gpu-process --field-trial-handle=12486320411845150321,4618363745908804962,131072 --disable-features=ExtendedMouseButtons,NetworkService --no-sandbox --log-file=/usr/share/spotify/debug.log --log-severity=disable --product-version=Spotify/1.1.10.546 --lang=en-US --gpu-preferences=KAAAAAAAAAAgAAAgAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --log-file=/usr/share/spotify/debug.log --service-request-channel-token=12155111122447110265
